content,hashtag,timestamp,User
"Today, we remember the students shot and killed at :

Allison Beth Krause
Jeffrey Glenn Miller
Sandra Lee Scheuer
William Knox Schroeder 

Half a century later, unnecessary state-sanctioned gun violence continues to kill Americans, especially Black + Native Americans.",KentState,2023-05-05 10:53:36+00:00,No Blood for Hubris
@Gvc3Casale @DeanHoner @RollingStone @KentState @KSUAlumni @DEVO I was wondering why the events of Jan 6th 2021 in the US around the White House weren’t met with similar deadly violence,KentState,2023-05-05 10:19:07+00:00,Mark Albrow
"""Tin soldiers and Nixon coming... this summer I hear the drumming, four dead in Ohio.""
I usually play this song every 4 May, anniversary of the Kent State massacre.",KentState,2023-05-05 07:07:34+00:00,Striking to save the UK University Sector
"More photos of 
Scroll down through the ads and swipe right on the arrow.",KentState,2023-05-05 06:42:36+00:00,dangerousbeenz
Lest we forget.   1970 the US National Guard opened fire on @KentState University students protesting the continued US involvement in the Vietnam War. These 4 young women and men were shot and killed.,KentState,2023-05-05 06:18:26+00:00,Nadin / Nadija
"@KentState Lawn Chemicals = Bad!!! ☠️☠️🚨🚨 
@ToxicFreeMW",KentState,2023-05-05 06:06:58+00:00,manure💩mitigators #saveWhatsLeft!🐝🦋🌳🙌🏼🌎
"The whole @KentState Campus is Drenched in Lawn Chemicals. So the old timers visiting for  have their immune systems compromised by endocrine disruptors.🤦‍♂️🚩🚨☠️
@chrisronayne @OhioEnviro @OhioSierraClub @OHIOcitizenact @Capt4CleanWater @wkyc @CRiverAction @EPAGreatLakes",KentState,2023-05-05 06:02:48+00:00,manure💩mitigators #saveWhatsLeft!🐝🦋🌳🙌🏼🌎
"In memory:  KENT STATE
May 4, 1970",KentState,2023-05-05 05:53:08+00:00,True Blue Democrat & Patriot☮🇺🇦💔
"National Guardsmen shot &amp; killed four students at  University in Ohio  in 1970 but none was ever held accountable for the , which galvanized the movement against the Vietnam War &amp; was a turning point in the  of the movement...",KentState,2023-05-05 05:36:08+00:00,Tommy Rådberg
"May 4th, 1970 - today is the anniversary of the Kent State Massacre in which the US Army National Guard shot and killed 4 protestors and wounded an additional 9 on a college campus in Ohio .",KentState,2023-05-05 05:23:51+00:00,Josh MacLeod
"@Gvc3Casale @Will_Bunch @RollingStone @KentState @KSUAlumni @DEVO Now we gotta worry about Proud Boys and other militias infiltrating the military, secret service, local law enforcement.",KentState,2023-05-05 05:13:56+00:00,S Graham
"On the anniversary of , here's something l wrote last year about how Garry Trudeau wrote about the tragedy in Doonesbury.",KentState,2023-05-05 05:00:16+00:00,Liam Proven
"I am not surprised by much anymore. 
I don't recognize the landscape of America - where I have lived all my life, through  and , , the rise of , , , 9.11 et al - anymore. 
But I am not surprised because  is stoked daily.",KentState,2023-05-05 04:55:40+00:00,JOE DOE 🕊
We  will never forget; 4 Dead in OHIO‼️,KentState,2023-05-05 04:51:56+00:00,Jeannette Blackwell
": On May 4th, 1970: Richard Nixon’s military - represented by the Ohio National Guard - open fire on anti-Vietnam War demonstrators, killing four students, wounding eight and paralyzing another.",KentState,2023-05-05 04:19:51+00:00,Jim
